Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Transferencias,Chrome 112.0.0.0,,,2023-04-18 09:31:51,2023-04-18 09:34:39,"2m - 47,866s",FAILED
,,,,,,,
Test Cases/04-Transferencias/TRF01-Transferencia Propias Credicoop Pesos POS,Chrome 112.0.0.0,,,2023-04-18 09:31:51,2023-04-18 09:33:05,"1m - 13,404s",PASSED
"vClaveBypass = findTestData(""02-Usuarios/SetUsers-FF"").getValue(5, 1)",Chrome 112.0.0.0,,,2023-04-18 09:31:52,2023-04-18 09:31:52,"0,808s",PASSED
"vlblMisCtas = findTestData(""05-Labels/Labels"").getValue(2, 10)",Chrome 112.0.0.0,,,2023-04-18 09:31:52,2023-04-18 09:31:53,"0,117s",PASSED
"vValorMonto = ""1""",Chrome 112.0.0.0,,,2023-04-18 09:31:53,2023-04-18 09:31:53,"0,001s",PASSED
"pkgUtilities.kwyUtility.Server(""Internet"")",Chrome 112.0.0.0,,,2023-04-18 09:31:53,2023-04-18 09:31:55,"2,372s",PASSED
"pkgUtilities.kwyUtility.Login(AdminDNI, AdminClave, AdminUsuario)",Chrome 112.0.0.0,,,2023-04-18 09:31:55,2023-04-18 09:32:05,"9,944s",PASSED
"click(findTestObject(""Object Repository/02-Dashboard/lnkDsbTransferencias""))",Chrome 112.0.0.0,,,2023-04-18 09:32:05,2023-04-18 09:32:13,"8,488s",PASSED
"click(findTestObject(""Object Repository/04-Transferencias/02-Nueva Transferencia/btnTrfNuevaTransferenciaInicio""))",Chrome 112.0.0.0,,,2023-04-18 09:32:13,2023-04-18 09:32:16,"2,669s",PASSED
"click(findTestObject(""Object Repository/04-Transferencias/lblTrfMisCuentasCredicoop""))",Chrome 112.0.0.0,,,2023-04-18 09:32:16,2023-04-18 09:32:19,"2,521s",PASSED
"verifyElementText(findTestObject(""Object Repository/04-Transferencias/lblTrfMisCuentasCredicoop""), vlblMisCtas)",Chrome 112.0.0.0,,,2023-04-18 09:32:19,2023-04-18 09:32:19,"0,784s",PASSED
"click(findTestObject(""Object Repository/04-Transferencias/lnkTrfCuentaPropiaPesos""))",Chrome 112.0.0.0,,,2023-04-18 09:32:19,2023-04-18 09:32:20,"0,463s",PASSED
"click(findTestObject(""Object Repository/04-Transferencias/txtTrfMontoFormulario""))",Chrome 112.0.0.0,,,2023-04-18 09:32:20,2023-04-18 09:32:22,"2,319s",PASSED
"sendKeys(findTestObject(""Object Repository/04-Transferencias/txtTrfMontoFormulario""), vValorMonto)",Chrome 112.0.0.0,,,2023-04-18 09:32:22,2023-04-18 09:32:23,"0,374s",PASSED
"click(findTestObject(""Object Repository/04-Transferencias/lblTrfSeleccionTitularidadFormulario""))",Chrome 112.0.0.0,,,2023-04-18 09:32:23,2023-04-18 09:32:23,"0,422s",PASSED
